trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-46.90080307111925,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-165.52398247051272,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-57.50518858186466,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-105.20447294894379,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-122.36177586339264,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-77.60151086441483,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-43.59554455493417,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-63.85688869277644,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-20.675295803251455,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-82.02555160069747,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-49.096449812047716,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-72.69229815023382,"{0: 16, 1: 7, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-43.784842774697104,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-109.60258583934655,"{0: 9, 1: 9, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-59.19344610561969,"{0: 23, 1: 9, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-44.93071903560759,"{0: 11, 1: 8, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-82.34543668030315,"{0: 9, 1: 9, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-46.509641383358435,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-31.559911653148404,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-32.15756599422346,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-54.33367641793644,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-8.704841510133246,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-18.942032589452754,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-28.087304785076796,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-19.80326832710018,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-7.405366466142217,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-48.1168239773765,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-44.524057189431915,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-33.08607765675631,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-7.077141354906384,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
