trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9801986733067553}",35,0,-107.60822126509167,"{0: 26, 1: 2, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9704455335485082}",30,0,-172.82418492778635,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.9607894391523232}",30,0,-262.12090615132126,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
4,False,"{'a': 0.8, 'e': 0.951229424500714}",30,0,-140.77316106088085,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.9417645335842487}",20,0,-91.74404742947763,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9323938199059483}",30,0,-147.77152839493243,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.9231163463866358}",20,0,-113.50571519660954,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9139311852712282}",20,0,-48.093234664815654,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.9048374180359595}",20,0,-95.5501961320076,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.8958341352965282}",20,0,-68.50263786249664,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.8869204367171575}",20,0,-127.17618414086238,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.8780954309205613}",25,0,-150.90597509658446,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.8693582353988059}",20,0,-87.65085901647177,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.8607079764250578}",20,0,-129.33895615266437,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.8521437889662113}",20,0,-93.12601275012354,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.8436648165963837}",20,0,-162.94415953322547,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.8, 'e': 0.835270211411272}",25,0,-121.84562657524428,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.8269591339433623}",20,0,-36.77801117950331,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.8187307530779818}",30,10,-92.65133450241647,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
20,False,"{'a': 0.8, 'e': 0.8105842459701871}",25,0,-132.25198356834565,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.8025187979624785}",20,0,-90.69006739449225,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.8, 'e': 0.794533602503334}",30,0,-181.28536466946923,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
23,False,"{'a': 0.8, 'e': 0.7866278610665535}",20,0,-28.91259856190092,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.7788007830714049}",25,0,-138.79512055957846,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.8, 'e': 0.7710515858035663}",25,0,-98.04718469023182,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
26,False,"{'a': 0.8, 'e': 0.7633794943368531}",20,0,-60.95645540447647,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.7557837414557255}",35,0,-130.91893357285318,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.8, 'e': 0.7482635675785653}",20,0,-76.42972477950235,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.7408182206817179}",25,0,-133.3449427455012,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.8, 'e': 0.7334469562242892}",30,0,-156.3257060956201,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
31,False,"{'a': 0.8, 'e': 0.7261490370736909}",35,0,-109.73953741351636,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.7189237334319262}",35,0,-162.99119703216758,"{0: 24, 1: 1, 2: 7, 3: 0, 4: 3}",0
33,False,"{'a': 0.8, 'e': 0.7117703227626097}",35,0,-186.5293454851534,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
34,False,"{'a': 0.8, 'e': 0.7046880897187134}",20,0,1.1787647090287252,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.697676326071031}",25,0,-95.7712971775584,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.8, 'e': 0.6907343306373547}",20,12,-43.34999106293738,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.8, 'e': 0.6838614092123558}",20,0,10.919826475646085,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.8, 'e': 0.6770568744981647}",20,1,-44.297937625391114,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.6703200460356393}",25,10,-50.011863149156795,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.8, 'e': 0.6636502501363194}",20,0,-55.06845229347019,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.8, 'e': 0.6570468198150567}",20,9,-2.3303668939776685,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.6505090947233165}",20,5,-56.91518575363851,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.8, 'e': 0.6440364210831414}",20,0,-67.8457341271381,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.6376281516217733}",25,0,-47.9123015819581,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.8, 'e': 0.631283645506926}",20,0,-8.67656386762663,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.6250022682827008}",20,0,-91.39025871820134,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
47,False,"{'a': 0.8, 'e': 0.6187833918061408}",25,0,-46.70844126326959,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.8, 'e': 0.6126263941844161}",20,0,-42.883894556382046,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.6065306597126334}",30,0,-108.28485810235044,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
50,False,"{'a': 0.8, 'e': 0.6004955788122659}",20,0,-48.80595943634571,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.8, 'e': 0.5945205479701944}",35,8,-107.75320877687531,"{0: 19, 1: 0, 2: 5, 3: 2, 4: 1}",1
52,False,"{'a': 0.8, 'e': 0.5886049696783552}",20,15,-32.55275546492284,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.8, 'e': 0.5827482523739896}",25,0,-42.32150167055209,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.8, 'e': 0.5769498103804866}",25,19,11.543727929145385,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.5712090638488149}",30,0,-67.65622939986207,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.8, 'e': 0.5655254386995371}",20,0,-5.561639387664599,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.559898366565402}",20,0,-82.11202014665578,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
58,False,"{'a': 0.8, 'e': 0.5543272847345071}",20,10,-26.06546794298547,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.5488116360940265}",25,0,-68.91328375500534,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.5433508690744998}",20,0,3.0920064865897814,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
61,False,"{'a': 0.8, 'e': 0.5379444375946745}",20,0,-65.3649862728505,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.8, 'e': 0.5325918010068972}",20,0,-122.43684846075732,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
63,False,"{'a': 0.8, 'e': 0.5272924240430485}",25,0,-102.11437600373169,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
64,False,"{'a': 0.8, 'e': 0.522045776761016}",30,8,-131.61325522350288,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 2}",1
