trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-148.561697715327,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-113.52849712980114,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-91.41490860022722,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-90.38581065971967,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-252.20322851118888,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-80.47004015306638,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-146.43216503718472,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-86.92405848487401,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-158.24814790817683,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-31.234990810519577,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-86.58495583467185,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,14,-2.605891529046898,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-99.66118304956122,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-108.30610048696843,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-127.08061289934098,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-27.618114485616427,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.835270211411272}",35,0,-158.82122598898448,"{0: 20, 1: 1, 2: 12, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-113.23378214965985,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-79.51596068146539,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,11,-93.78699617654172,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,12,-59.26728745669141,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.794533602503334}",30,0,-16.748139170755564,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-172.65639123888792,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-201.5951395230525,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,0,-17.351602358988227,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7633794943368531}",35,13,-136.13854786112643,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-21.20097687290186,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,0,-102.08494122922556,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-87.52800841102173,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-115.56571414894266,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,14,-1.718471730098707,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,2,-50.62057996049958,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,11,-76.71607147114966,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-1.2535589035898287,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-56.94730573390836,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-59.42475042432806,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-4.460799386487831,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-138.17972914495482,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,7,-47.7182164011585,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-69.77015763702009,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-39.42014594679618,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
