trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-159.6995261033356,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-70.78569182780124,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-158.12056005310274,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-83.37378432836641,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-85.10522637439348,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-60.68948501149803,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-137.90161119006146,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-73.80566507510233,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-80.18364838019873,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-116.71837412700488,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-167.73921868404935,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-106.44896117728186,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-58.08967131993741,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,6,-119.54616984873851,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,5.210238465067654,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-121.7953791628347,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-203.1318851329821,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-53.380232665209356,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,10,-20.428466106751433,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,13,10.50289237187919,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,1,-92.66407299948538,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.794533602503334}",25,11,-85.25992462890532,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-154.44403271096584,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-94.97789750357565,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-64.83217766098407,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-37.95344741544815,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-52.23613290453741,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,3,-56.688225535630394,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.7408182206817179}",35,0,-135.69833443217735,"{0: 23, 1: 4, 2: 4, 3: 3, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7334469562242892}",30,0,-84.22903135826435,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,0,-140.47013472459733,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,3.8081370976144444,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,9,-22.969077982331527,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,4,-73.4606121280932,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.697676326071031}",20,10,-37.38084265708084,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-193.18582552077703,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-26.489252752792854,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,16,-15.346578687266238,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-101.6809761553072,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-58.75057319840577,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-57.50469777779621,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-51.21093388442198,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-59.29555071644531,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-102.27743137818166,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-9.257258347385717,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,0,-16.060853008836705,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-27.99227595479283,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,18,-26.57672985226574,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-188.81435088362542,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-35.81342835896392,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-25.271036015599844,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,12,3.4088603051016797,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,0,-150.1610676318729,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-10.203833374121379,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5712090638488149}",30,20,17.932486328938058,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-54.65841832130213,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-4.19980669781442,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-36.60591900541637,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,8,-8.78591951451509,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,-28.432943530683165,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-60.72369488332746,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,0,-54.64922125947364,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,6.416047165825871,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.522045776761016}",20,11,-26.400074371158418,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,6,-10.010629433971998,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,5.931239226212761,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-14.202557829015234,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5015760690660555}",30,18,-35.29694164035035,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,2,-37.44987293135256,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
