trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.74100132245296,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.69306203409064,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-183.13828593540947,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.93061119824132,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,10,-16.95292667495362,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,8,-30.992794097983392,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.90344413082212,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,11,-83.81477978390075,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.26054265045488,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.61515284056162,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.64810207819606,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.87814850589072,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.33661207801337,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.77524886589485,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-44.13587455925561,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-217.57211768552472,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-152.3751648776797,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.71045191115738,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.37897647764301,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.92981384766628,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.93502713884646,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,9,-143.80684698335276,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 3}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.17578286191592,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.48862518297359,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-163.201237268018,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,14,-35.73006442615566,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.81921166995667,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-164.21887943589235,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,14,-11.153860041034475,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-239.14908219096242,"{0: 5, 1: 7, 2: 3, 3: 1, 4: 4}",0
